iteration,model,distribution,parameter_space,component,active,weight,pv_location,pv_scale,battery_location,battery_scale
5,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
5,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
5,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
6,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
6,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
6,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
6,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
6,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
6,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
6,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
6,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
7,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
7,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
7,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
7,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
7,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
7,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
7,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
7,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
8,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
8,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
8,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
8,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
8,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
8,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
8,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
8,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
9,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
9,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
9,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
9,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
9,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
9,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
9,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
9,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
10,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
10,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
10,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
10,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
10,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
10,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
10,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
10,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
11,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
11,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
11,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
11,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
11,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
11,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
11,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
11,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
12,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
12,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
12,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
12,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
12,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
12,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
12,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
12,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
13,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
13,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
13,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
13,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
13,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
13,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
13,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
13,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
14,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
14,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
14,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
14,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
14,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
14,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
14,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
14,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
15,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
15,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
15,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
15,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
15,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
15,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
15,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
15,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
16,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
16,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
16,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
16,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
16,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
16,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
16,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
16,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
17,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
17,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
17,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
17,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
17,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
17,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
17,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
17,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
18,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
18,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
18,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
18,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
18,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
18,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
18,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
18,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
19,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
19,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
19,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
19,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
19,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
19,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
19,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
19,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
20,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
20,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
20,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
20,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
20,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
20,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
20,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
20,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
21,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
21,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
21,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
21,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
21,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
21,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
21,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
21,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
22,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
22,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
22,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
22,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
22,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
22,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
22,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
22,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
23,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
23,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
23,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
23,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
23,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
23,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
23,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
23,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
24,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
24,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
24,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
24,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
24,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
24,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
24,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
24,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
25,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
25,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
25,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
25,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
25,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
25,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
25,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
25,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
26,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
26,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
26,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
26,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
26,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
26,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
26,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
26,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
27,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
27,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
27,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
27,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
27,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
27,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
27,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
27,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
28,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
28,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
28,ppo_gmm,gaussian,physical,2,True,0.125,2.62164306640625,3.4619998931884766,3.3731021881103516,5.770000457763672
28,ppo_gmm,gaussian,physical,3,True,0.125,6.873056411743164,3.4619998931884766,3.0549802780151367,5.770000457763672
28,ppo_gmm,gaussian,physical,4,True,0.125,8.376938819885254,3.4619998931884766,12.005061149597168,5.770000457763672
28,ppo_gmm,gaussian,physical,5,True,0.125,10.216312408447266,3.4619998931884766,4.140565872192383,5.770000457763672
28,ppo_gmm,gaussian,physical,6,True,0.125,6.183315277099609,3.4619998931884766,10.536527633666992,5.770000457763672
28,ppo_gmm,gaussian,physical,7,True,0.125,6.360255241394043,3.4619998931884766,13.29327392578125,5.770000457763672
29,ppo_gmm,gaussian,physical,0,True,0.125,5.558095932006836,3.4619998931884766,5.14385986328125,5.770000457763672
29,ppo_gmm,gaussian,physical,1,True,0.125,10.041942596435547,3.4619998931884766,7.538865089416504,5.770000457763672
